# Generated by tools/extract_params/extract_pm7.py; do not hand edit.
# Source: MOPAC v23.2.5 src/models/parameters_for_PM7_TS_C.F90 (Apache-2.0).
z,n,ios,iop,iod,core_charge,eheat_kcal,u_ss,u_pp,u_dd,zeta_s,zeta_p,zeta_d,beta_s,beta_p,beta_d,g_ss,g_sp,g_pp,g_p2,h_sp,zsn,zpn,zdn,f0sd,g2sd,alpha,poc,polvol,g1_1,g1_2,g1_3,g1_4,g2_1,g2_2,g2_3,g2_4,g3_1,g3_2,g3_3,g3_4
78,6,1,0,9,10,135.2,-55.878758,52.660706,-92.789895,2.922551,0.725689,2.158085,-10.270452,10.016048,-7.705919,11.729692,13.983535,81.077279,70.320441,0.000643,3.08332,19.42728,2.233704,4.725137,3.459127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,6,1,0,10,11,88,-94.841695,-61.195249,-114.242383,1.904923,2.408005,4.377691,-13.460355,-24.92179,-63.835796,8.479387,10.011584,19.009792,16.487689,0.645273,2.22893,4.555019,2.406645,9.054233,5.690708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,6,2,0,0,2,14.69,-18.205464,-15.280873,0,2.575831,1.955505,0,-9.91988,2.134696,0,7.687301,8.355361,5.135379,9.529761,0.954727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,6,2,1,0,3,43.55,-31.112183,-18.547083,10.294626,1.903342,2.838647,5.015677,-2.456566,-4.949902,0.079835,11.438997,6.59845,6.05458,5.507624,0.894757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,6,2,2,0,4,46.62,-39.446347,-29.348301,-72.584748,4.706006,2.591455,0,-64.174888,-4.631384,-5.319005,8.368048,8.60693,6.431147,6.550076,0.984819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,6,2,3,0,5,50.1,-36.561343,-30.823167,-19.667431,5.465413,2.037481,2.8554,-63.67396,-6.931981,-8.868066,3.438678,3.987429,8.221978,8.183927,1.610989,4.275828,3.018252,4.889868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,6,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,6,2,5,0,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,7,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
