# Generated by tools/extract_params/extract_pm7.py; do not hand edit.
# Source: MOPAC v23.2.5 src/models/parameters_for_PM7_C.F90 (Apache-2.0).
z_hi,z_lo,alpb,xfac
74,53,1.997307,5.825642
74,55,0.899625,4.061044
74,56,1.566159,1.861828
74,74,2.141401,13.807246
75,1,1.748317,0.497281
75,6,2.10951,0.646616
75,7,2.47423,1.43857
75,8,2.40364,1.075351
75,9,2.790322,1.384171
75,14,2.77593,0.84945
75,15,1.316878,0.761808
75,16,2.637193,3.055234
75,17,2.857608,3.265852
75,32,2.85234,2.15158
75,34,2.52317,2.20214
75,35,2.195052,1.575571
75,51,2.20436,2.27578
75,53,2.239594,3.240592
75,75,2.195649,1.77666
76,1,2.399448,3.609773
76,6,1.938959,0.616916
76,7,2.13975,0.730399
76,8,2.539022,1.230187
76,9,2.210417,0.562952
76,11,2.55074,8.27575
76,15,2.060122,4.267629
76,16,2.8095,4.18605
76,17,2.080978,1.177666
76,19,1.351484,0.875486
76,35,2.22581,2.709104
76,53,2.189487,4.869377
76,76,1.661052,0.928334
77,1,1.634365,0.40647
77,6,1.604977,0.185955
77,7,2.997358,1.790021
77,8,3.116069,2.303902
77,9,2.612609,0.714245
77,11,2.55082,8.27583
77,15,2.71406,6.28467
77,16,3.009199,2.680449
77,17,2.575683,0.858848
77,19,4.52117,2.0264
77,35,2.058351,0.804901
77,53,2.031222,1.787121
77,55,1.559526,1.027369
77,77,1.465795,0.190914
78,1,3.062604,2.051954
78,6,2.296772,0.370388
78,7,2.347134,0.447775
78,8,2.680367,0.827827
78,9,3.157007,1.03124
78,13,1.57236,1.05693
78,14,0.99999,0.09999
78,15,1.30781,0.485582
78,16,2.919597,2.008326
78,17,3.034813,1.610994
78,19,1.495407,2.058817
78,35,2.596546,1.409311
78,47,1.387422,5.456551
78,53,2.228284,1.17452
78,78,3.276872,8.178033
79,1,2.006469,0.748516
79,6,2.119485,0.6032
79,7,2.395362,0.620935
79,8,2.323131,0.355344
79,9,3.153884,0.880186
79,13,1.57257,1.05714
79,15,1.360881,0.477023
79,16,1.908644,0.423252
79,17,2.495913,1.153029
79,19,1.098797,0.777289
79,34,1.840962,1.396436
79,35,1.633736,0.259683
79,46,1.311827,0.663311
79,53,2.017017,1.635086
79,79,1.539843,0.352184
80,1,1.95306,3.306359
80,6,1.702331,0.911944
80,7,1.715039,1.01614
80,8,2.151298,2.032727
80,9,1.836494,0.631905
80,11,1.459803,2.437893
80,14,2.77086,3.68074
80,15,0.891179,1.351633
80,16,1.900145,1.772158
80,17,1.838378,1.142381
80,22,3.41463,2.9572
80,34,1.60727,1.015811
80,35,1.705395,1.997568
80,52,1.536568,4.486299
80,53,1.476731,2.489683
80,80,2.288223,29.334203
81,1,2.09811,2.104104
81,5,1.558857,8.505888
81,6,2.721075,5.32093
81,7,1.97556,1.168533
